Dato (YYYYMMDD),GBq,Kg/Yr,Number of Atoms
19900101,14.7,2.31,1.08E+025
19900201,17.2,2.7,1.26E+025
19900301,22.8,3.58,1.67E+025
19900401,13.2,2.07,9.68E+024
19900501,22.4,3.51,1.64E+025
19900601,20.3,3.19,1.49E+025
19900701,10.6,1.66,7.77E+024
19900801,3.8,0.6,2.79E+024
19900901,31.1,4.88,2.28E+025
19901001,37.2,5.84,2.73E+025
19901101,67.4,10.57,4.94E+025
19901201,65.8,10.32,4.82E+025
19910101,52.3,8.21,3.83E+025
19910201,31.3,4.91,2.29E+025
19910301,34.5,5.41,2.53E+025
19910401,52,8.16,3.81E+025
19910501,29.8,4.68,2.18E+025
19910601,131.5,20.63,9.64E+025
19910701,28.5,4.47,2.09E+025
19910801,8.9,1.4,6.52E+024
19910901,0.7,0.11,5.13E+023
19911001,39.9,6.26,2.92E+025
19911101,30.2,4.74,2.21E+025
19911201,15.8,2.48,1.16E+025
19920101,25.8,4.05,1.89E+025
19920201,24.5,3.84,1.8E+025
19920301,52.6,8.25,3.86E+025
19920401,75.5,11.85,5.53E+025
19920501,63.6,9.98,4.66E+025
19920601,61.9,9.71,4.54E+025
19920701,33.9,5.32,2.48E+025
19920801,16.9,2.65,1.24E+025
19920901,38.2,5.99,2.8E+025
19921001,28.5,4.47,2.09E+025
19921101,19.6,3.08,1.44E+025
19921201,37.6,5.9,2.76E+025
19930101,38.1,5.98,2.79E+025
19930201,27.8,4.36,2.04E+025
19930301,54,8.47,3.96E+025
19930401,25.3,3.97,1.85E+025
19930501,173,27.14,1.27E+026
19930601,101,15.85,7.4E+025
19930701,30.6,4.8,2.24E+025
19930801,766,0.12,5.61E+023
19930901,21.6,3.39,1.58E+025
19931001,41.4,6.5,3.03E+025
19931101,52,8.16,3.81E+025
19931201,80.8,12.68,5.92E+025
19940101,121,18.98,8.87E+025
19940201,84.6,13.27,6.2E+025
19940301,51.7,8.11,3.79E+025
19940401,55,8.63,4.03E+025
19940501,104,16.32,7.62E+025
19940601,79.5,12.47,5.83E+025
19940701,55.1,8.65,4.04E+025
19940801,12.6,1.98,9.24E+024
19940901,131,20.55,9.6E+025
19941001,200,31.38,1.47E+026
19941101,134,21.02,9.82E+025
19941201,88.8,13.93,6.51E+025
19950101,106,16.63,7.77E+025
19950201,156,24.48,1.14E+026
19950301,143,22.44,1.05E+026
19950401,147,23.06,1.08E+026
19950501,112,17.57,8.21E+025
19950601,121,18.98,8.87E+025
19950701,53.4,8.38,3.91E+025
19950801,21.6,3.39,1.58E+025
19950901,141,22.12,1.03E+026
19951001,187,29.34,1.37E+026
19951101,181,28.4,1.33E+026
19951201,161,25.26,1.18E+026
19960101,118143,18.54,8.66E+025
19960201,151.77,23.81,1.11E+026
19960301,121.7527,19.1,8.92E+025
19960401,171528,26.91,1.26E+026
19960501,220542,34.6,1.62E+026
19960601,195689,30.7,1.43E+026
19960701,113.7153,17.84,8.34E+025
19960801,26331,4.13,1.93E+025
19960901,161.7,25.37,1.19E+026
19961001,162833,25.55,1.19E+026
19961101,131.1864,20.58,9.62E+025
19961201,108.0144,16.95,7.92E+025
19970101,163,25.57,1.19E+026
19970201,130,20.4,9.53E+025
19970301,174,27.3,1.28E+026
19970401,197,30.91,1.44E+026
19970501,160,25.1,1.17E+026
19970601,191,29.97,1.4E+026
19970701,73.4,11.52,5.38E+025
19970801,3.41,0.54,2.5E+024
19970901,118,18.51,8.65E+025
19971001,121,18.98,8.87E+025
19971101,176,27.61,1.29E+026
19971201,122,19.14,8.94E+025
19980101,99,15.53,7.26E+025
19980201,96,15.06,7.04E+025
19980301,150,23.53,1.1E+026
19980401,180,28.24,1.32E+026
19980501,210,32.95,1.54E+026
19980601,200,31.38,1.47E+026
19980701,130,20.4,9.53E+025
19980801,49,7.69,3.59E+025
19980901,90,14.12,6.6E+025
19981001,190,29.81,1.39E+026
19981101,200,31.38,1.47E+026
19981201,190,29.81,1.39E+026
19990101,91.58655,14.37,6.71E+025
19990201,199.24,31.26,1.46E+026
19990301,243117,38.14,1.78E+026
19990401,215237,33.77,1.58E+026
19990501,204992,32.16,1.5E+026
19990601,178864,28.06,1.31E+026
19990701,66.2428,10.39,4.86E+025
19990801,33.3616,5.23,2.45E+025
19990901,178035,27.93,1.3E+026
19991001,176.1438,27.64,1.29E+026
19991101,152834,23.98,1.12E+026
19991201,88.5531,13.89,6.49E+025
20000101,61.0848,9.58,4.48E+025
20000201,65.0313,10.2,4.77E+025
20000301,191.88,30.11,1.41E+026
20000401,54056,8.48,3.96E+025
20000501,145288,22.8,1.06E+026
20000601,179.76,28.2,1.32E+026
20000701,82.7038,12.98,6.06E+025
20000801,34.9044,5.48,2.56E+025
20000901,128986,20.24,9.45E+025
20001001,182,28.56,1.33E+026
20001101,165,25.89,1.21E+026
20001201,71.2,11.17,5.22E+025
20010101,10.2,1.6,7.48E+024
20010201,74.8,11.74,5.48E+025
20010301,7.19,1.13,5.27E+024
20010401,69.8,10.95,5.12E+025
20010501,112,17.57,8.21E+025
20010601,158,24.79,1.16E+026
20010701,37.1,5.82,2.72E+025
20010801,40.6,6.37,2.98E+025
20010901,164,25.73,1.2E+026
20011001,145,22.75,1.06E+026
20011101,155,24.32,1.14E+026
20011201,207,32.48,1.52E+026
20020101,109,17.1,7.99E+025
20020201,120,18.83,8.8E+025
20020301,52.7,8.27,3.86E+025
20020401,56.3,8.83,4.13E+025
20020501,139,21.81,1.02E+026
20020601,150.2,23.57,1.1E+026
20020701,55.8,8.75,4.09E+025
20020801,18.1,2.84,1.33E+025
20020901,131,20.55,9.6E+025
20021001,168,26.36,1.23E+026
20021101,153,24.01,1.12E+026
20021201,175,27.46,1.28E+026
20030101,29.3,4.6,2.15E+025
20030201,67.1,10.53,4.92E+025
20030301,145,22.75,1.06E+026
20030401,94.8,14.87,6.95E+025
20030501,140,21.97,1.03E+026
20030601,112,17.57,8.21E+025
20030701,91.6220061,14.38,6.72E+025
20030801,42.5552104,6.68,3.12E+025
20030901,154.961794,24.31,1.14E+026
20031001,115.020523,18.05,8.43E+025
20031101,96.754443,15.18,7.09E+025
20031201,186.8691764,29.32,1.37E+026
20040101,183.812139,28.84,1.35E+026
20040201,120.776981,18.95,8.85E+025
20040301,41.497449,6.51,3.04E+025
20040401,168.8561357,26.49,1.24E+026
20040501,222.716452,34.94,1.63E+026
20040601,191.689945,30.08,1.41E+026
20040701,43.381662,6.81,3.18E+025
20040801,14.51149,2.28,1.06E+025
20040901,80.006337,12.55,5.86E+025
20041001,104.474302,16.39,7.66E+025
20041101,110.273014,17.3,8.08E+025
20041201,78.797802,12.36,5.78E+025
20050101,101,15.85,7.4E+025
20050201,115.6,18.14,8.47E+025
20050301,84.44,13.25,6.19E+025
20050401,176.1,27.63,1.29E+026
20050501,148.3,23.27,1.09E+026
20050601,112.2,17.6,8.22E+025
20050701,98.58,15.47,7.23E+025
20050801,4943,0.78,3.62E+024
20050901,78.51,12.32,5.75E+025
20051001,241.5,37.89,1.77E+026
20051101,164,25.73,1.2E+026
20051201,69.99,10.98,5.13E+025
20060101,59.8,9.38,4.38E+025
20060201,120,18.83,8.8E+025
20060301,114,17.89,8.36E+025
20060401,98.2,15.41,7.2E+025
20060501,134,21.02,9.82E+025
20060601,104,16.32,7.62E+025
20060701,73,11.45,5.35E+025
20060801,37.1,5.82,2.72E+025
20060901,117,18.36,8.58E+025
20061001,109,17.1,7.99E+025
20061101,178,27.93,1.3E+026
20061201,175,27.46,1.28E+026
20070101,161,25.26,1.18E+026
20070201,41.3,6.48,3.03E+025
20070301,23.9,3.75,1.75E+025
20070401,234,36.71,1.72E+026
20070501,253,39.69,1.85E+026
20070601,237,37.18,1.74E+026
20070701,37.8,5.93,2.77E+025
20070801,32.9,5.16,2.41E+025
20070901,170,26.67,1.25E+026
20071001,43.4,6.81,3.18E+025
20071101,79.5,12.47,5.83E+025
20071201,61.4,9.63,4.5E+025
20080101,81,12.71,5.94E+025
20080201,115,18.04,8.43E+025
20080301,70.4,11.05,5.16E+025
20080401,179,28.08,1.31E+026
20080501,196,30.75,1.44E+026
20080601,147,23.06,1.08E+026
20080701,23,3.61,1.69E+025
20080801,5,0.78,3.66E+024
20080901,7.6,1.19,5.57E+024
20081001,64.7,10.15,4.74E+025
20081101,115,18.04,8.43E+025
20081201,40.3,6.32,2.95E+025
20090101,77.1,12.1,5.65E+025
20090201,93.6,14.69,6.86E+025
20090301,96.6,15.16,7.08E+025
20090401,80.1,12.57,5.87E+025
20090501,238,37.34,1.74E+026
20090601,174,27.3,1.28E+026
20090701,25.1,3.94,1.84E+025
20090801,48.8,7.66,3.58E+025
20090901,108,16.94,7.92E+025
20091001,90.7,14.23,6.65E+025
20091101,33.2,5.21,2.43E+025
20091201,8.92,1.4,6.54E+024
20100101,10.9,1.71,7.99E+024
20100201,154,24.16,1.13E+026
20100301,181,28.4,1.33E+026
20100401,202,31.69,1.48E+026
20100501,174,27.3,1.28E+026
20100601,238,37.34,1.74E+026
20100701,71.8,11.27,5.26E+025
20100801,22.8,3.58,1.67E+025
20100901,88.4,13.87,6.48E+025
20101001,102,16,7.48E+025
20101101,103,16.16,7.55E+025
20101201,17.4,2.73,1.28E+025
20110101,70.4,11.05,5.16E+025
20110201,71.7,11.25,5.26E+025
20110301,151,23.69,1.11E+026
20110401,125,19.61,9.16E+025
20110501,154,24.16,1.13E+026
20110601,78.5,12.32,5.75E+025
20110701,9.57,1.5,7.01E+024
20110801,2.62,0.41,1.92E+024
20110901,97.9,15.36,7.18E+025
20111001,155,24.32,1.14E+026
20111101,157,24.63,1.15E+026
20111201,180,28.24,1.32E+026
20120101,82.7,12.98,6.06E+025
20120201,65.4,10.26,4.79E+025
20120301,78.6,12.33,5.76E+025
20120401,146,22.91,1.07E+026
20120501,185,29.03,1.36E+026
20120601,141,22.12,1.03E+026
20120701,55.3,8.68,4.05E+025
20120801,12.4,1.95,9.09E+024
20120901,99.5,15.61,7.29E+025
20121001,222,34.83,1.63E+026
20121101,126,19.77,9.24E+025
20121201,72.8,11.42,5.34E+025
20130101,75.8,11.89,5.56E+025
20130201,80.8,12.68,5.92E+025
20130301,20.2,3.17,1.48E+025
20130401,33.4,5.24,2.45E+025
20130501,164,25.73,1.2E+026
20130601,146,22.91,1.07E+026
20130701,170,26.67,1.25E+026
20130801,127,19.93,9.31E+025
20130901,224,35.14,1.64E+026
20131001,157,24.63,1.15E+026
20131101,187,29.34,1.37E+026
20131201,171,26.83,1.25E+026
20140101,4.94,0.78,3.62E+024
20140201,148,23.22,1.08E+026
20140301,209,32.79,1.53E+026
20140401,174,27.3,1.28E+026
20140501,200,31.38,1.47E+026
20140601,132,20.71,9.68E+025
20140701,132,20.71,9.68E+025
20140801,86.3,13.54,6.33E+025
20140901,10.4,1.63,7.62E+024
20141001,16.2,2.54,1.19E+025
20141101,201,31.54,1.47E+026
20141201,213,33.42,1.56E+026
20150101,127,19.93,9.31E+025
20150201,92.8,14.56,6.8E+025
20150301,167,26.2,1.22E+026
20150401,192,30.12,1.41E+026
20150501,151,23.69,1.11E+026
20150601,112,17.57,8.21E+025
20150701,275,43.15,2.02E+026
20150801,168,26.36,1.23E+026
20150901,63.9,10.03,4.68E+025
20151001,5.08,0.8,3.72E+024
20151101,95.3,14.95,6.99E+025
20151201,191,29.97,1.4E+026
20160101,109,17.1,7.99E+025
20160201,140,21.97,1.03E+026
20160301,89.8,14.09,6.58E+025
20160401,155,24.32,1.14E+026
20160501,187,29.34,1.37E+026
20160601,174,27.3,1.28E+026
20160701,238,37.34,1.74E+026
20160801,186,29.18,1.36E+026
20160901,58.5,9.18,4.29E+025
20161001,1.96,0.31,1.44E+024
20161101,6.43,1.01,4.71E+024
20161201,74.1,11.63,5.43E+025
20170101,60.4,9.48,4.43E+025
20170201,100,15.69,7.33E+025
20170301,103,16.16,7.55E+025
20170401,103,16.16,7.55E+025
20170501,193,30.28,1.41E+026
20170601,185,29.03,1.36E+026
20170701,176,27.61,1.29E+026
20170801,158,24.79,1.16E+026
20170901,134,21.02,9.82E+025
20171001,39.2,6.15,2.87E+025
20171101,8.79,1.38,6.44E+024
20171201,4.29,0.67,3.14E+024
20180101,5.18,0.81,3.8E+024
20180201,107,16.79,7.84E+025
20180301,195,30.59,1.43E+026
20180401,188,29.5,1.38E+026
20180501,99.2,15.56,7.27E+025
20180601,55.1,8.65,4.04E+025
20180701,153,24.01,1.12E+026
20180801,165,25.89,1.21E+026
20180901,115,18.04,8.43E+025
20181001,31.6,4.96,2.32E+025
20181101,55,8.63,4.03E+025
20181201,127,19.93,9.31E+025
20190101,58.1,9.12,4.26E+025
20190201,93.1,14.61,6.82E+025
20190301,142,22.28,1.04E+026
