Dato (YYYYMMDD),129I GBq,Kg/Yr,Number of Atoms
19900101,13.46,2.11,9.86E+024
19900201,7.7,1.21,5.64E+024
19900301,10.02,1.57,7.34E+024
19900401,10.14,1.59,7.43E+024
19900501,2.98,0.47,2.18E+024
19900601,2.75,0.43,2.02E+024
19900701,6.28,0.98,4.6E+024
19900801,10.56,1.66,7.74E+024
19900901,10.92,1.71,8E+024
19901001,9.39,1.47,6.88E+024
19901101,13.24,2.08,9.71E+024
19901201,8.39,1.32,6.15E+024
19910101,15.56,2.44,1.14E+025
19910201,31.93,5.01,2.34E+025
19910301,15.85,2.49,1.16E+025
19910401,5.4,0.85,3.96E+024
19910501,6.5,1.02,4.76E+024
19910601,12.7,1.99,9.31E+024
19910701,15.8,2.48,1.16E+025
19910801,9.42,1.48,6.91E+024
19910901,11.14,1.75,8.16E+024
19911001,9.41,1.48,6.9E+024
19911101,8.32,1.31,6.1E+024
19911201,18.41,2.89,1.35E+025
19920101,15.69,2.46,1.15E+025
19920201,4.33,0.68,3.18E+024
19920301,2.82,0.44,2.07E+024
19920401,1.91,0.3,1.4E+024
19920501,4.34,0.68,3.18E+024
19920601,1.56,0.24,1.14E+024
19920701,5.8,0.91,4.25E+024
19920801,7.14,1.12,5.24E+024
19920901,4.85,0.76,3.56E+024
19921001,5.34,0.84,3.91E+024
19921101,7.46,1.17,5.47E+024
19921201,8.41,1.32,6.16E+024
19930101,9.16,1.44,6.71E+024
19930201,29.45,4.62,2.16E+025
19930301,13.01,2.04,9.53E+024
19930401,12.29,1.93,9.01E+024
19930501,15.92,2.5,1.17E+025
19930601,11.86,1.86,8.69E+024
19930701,9.69,1.52,7.1E+024
19930801,12.05,1.89,8.83E+024
19930901,16.23,2.55,1.19E+025
19931001,13.42,2.11,9.84E+024
19931101,8.78,1.38,6.44E+024
19931201,10.35,1.62,7.59E+024
19940101,21.56,3.38,1.58E+025
19940201,9.96,1.56,7.3E+024
19940301,12.69,1.99,9.3E+024
19940401,14.43,2.26,1.06E+025
19940501,18.86,2.96,1.38E+025
19940601,11.03,1.73,8.08E+024
