Dato (YYYYMMDD),Kg/Yr,Number of Atoms
19660101,6.63E-04,1.69E+21
19660201,6.63E-04,1.69E+21
19660301,6.63E-04,1.69E+21
19660401,6.63E-04,1.69E+21
19660501,6.63E-04,1.69E+21
19660601,6.63E-04,1.69E+21
19660701,6.63E-04,1.69E+21
19660801,6.63E-04,1.69E+21
19660901,6.63E-04,1.69E+21
19661001,6.63E-04,1.69E+21
19661101,6.63E-04,1.69E+21
19661201,6.63E-04,1.69E+21
19670101,2.62E-03,6.68E+21
19670201,2.62E-03,6.68E+21
19670301,2.62E-03,6.68E+21
19670401,2.62E-03,6.68E+21
19670501,2.62E-03,6.68E+21
19670601,2.62E-03,6.68E+21
19670701,2.62E-03,6.68E+21
19670801,2.62E-03,6.68E+21
19670901,2.62E-03,6.68E+21
19671001,2.62E-03,6.68E+21
19671101,2.62E-03,6.68E+21
19671201,2.62E-03,6.68E+21
19680101,3.74E-03,9.53E+21
19680201,3.74E-03,9.53E+21
19680301,3.74E-03,9.53E+21
19680401,3.74E-03,9.53E+21
19680501,3.74E-03,9.53E+21
19680601,3.74E-03,9.53E+21
19680701,3.74E-03,9.53E+21
19680801,3.74E-03,9.53E+21
19680901,3.74E-03,9.53E+21
19681001,3.74E-03,9.53E+21
19681101,3.74E-03,9.53E+21
19681201,3.74E-03,9.53E+21
19690201,1.64E-03,4.19E+21
19690301,1.64E-03,4.19E+21
19690401,1.64E-03,4.19E+21
19690501,1.64E-03,4.19E+21
19690601,1.64E-03,4.19E+21
19690701,1.64E-03,4.19E+21
19690801,1.64E-03,4.19E+21
19690901,1.64E-03,4.19E+21
19691001,1.64E-03,4.19E+21
19691101,1.64E-03,4.19E+21
19691201,1.64E-03,4.19E+21
19700101,2.76E-03,7.04E+21
19700201,2.76E-03,7.04E+21
19700301,2.76E-03,7.04E+21
19700401,2.76E-03,7.04E+21
19700501,2.76E-03,7.04E+21
19700601,2.76E-03,7.04E+21
19700701,2.76E-03,7.04E+21
