Dato (YYYYMMDD),Kg/Yr,Number of Atoms
19520101,5.57E-03,1.42E+22
19520201,5.57E-03,1.42E+22
19520301,5.57E-03,1.42E+22
19520401,5.57E-03,1.42E+22
19520501,5.57E-03,1.42E+22
19520601,5.57E-03,1.42E+22
19520701,5.57E-03,1.42E+22
19520801,5.57E-03,1.42E+22
19520901,5.57E-03,1.42E+22
19521001,5.57E-03,1.42E+22
19521101,5.57E-03,1.42E+22
19521201,5.57E-03,1.42E+22
19530101,4.46E-02,1.14E+23
19530201,4.46E-02,1.14E+23
19530301,4.46E-02,1.14E+23
19530401,4.46E-02,1.14E+23
19530501,4.46E-02,1.14E+23
19530601,4.46E-02,1.14E+23
19530701,4.46E-02,1.14E+23
19530801,4.46E-02,1.14E+23
19530901,4.46E-02,1.14E+23
19531001,4.46E-02,1.14E+23
19531101,4.46E-02,1.14E+23
19531201,4.46E-02,1.14E+23
19540101,5.01E-03,1.28E+22
19540201,5.01E-03,1.28E+22
19540301,5.01E-03,1.28E+22
19540401,5.01E-03,1.28E+22
19540501,5.01E-03,1.28E+22
19540601,5.01E-03,1.28E+22
19540701,5.01E-03,1.28E+22
19540801,5.01E-03,1.28E+22
19540901,5.01E-03,1.28E+22
19541001,5.01E-03,1.28E+22
19541101,5.01E-03,1.28E+22
19541201,5.01E-03,1.28E+22
19550101,1.03E-02,2.62E+22
19550201,1.03E-02,2.62E+22
19550301,1.03E-02,2.62E+22
19550401,1.03E-02,2.62E+22
19550501,1.03E-02,2.62E+22
19550601,1.03E-02,2.62E+22
19550701,1.03E-02,2.62E+22
19550801,1.03E-02,2.62E+22
19550901,1.03E-02,2.62E+22
19551001,1.03E-02,2.62E+22
19551101,1.03E-02,2.62E+22
19551201,1.03E-02,2.62E+22
19560101,1.03E-02,2.63E+22
19560201,1.03E-02,2.63E+22
19560301,1.03E-02,2.63E+22
19560401,1.03E-02,2.63E+22
19560501,1.03E-02,2.63E+22
19560601,1.03E-02,2.63E+22
19560701,1.03E-02,2.63E+22
19560801,1.03E-02,2.63E+22
19560901,1.03E-02,2.63E+22
19561001,1.03E-02,2.63E+22
